,filename,part,staves,mc_mean,mn_mean
207,Nonpareil.mscz,part_1,"[1, 2]",37.9066852367688,37.9066852367688
208,Ode_to_Pain.mscz,part_1,"[1, 2]",10.108061749571183,10.108061749571183
209,Oh_You_Turkey_-_A_Rag_Trot_1914.mscz,part_1,[1],44.50322580645161,44.50322580645161
210,Oh_You_Turkey_-_A_Rag_Trot_1914.mscz,part_2,[2],41.19181946403385,41.19181946403385
211,Oh_You_Turkey_-_A_Rag_Trot_1914.mscz,part_3,[3],43.5,43.5
212,On_the_Pike__James_Scott.mscz,part_1,"[1, 2]",47.44123314065511,47.44123314065511
213,OpenTTD_Main_Menu_Theme.mscz,part_1,"[1, 2]",13.439097744360902,13.439097744360902
214,Ophelia_Rag.mscz,part_1,"[1, 2]",40.024682651622,40.024682651622
215,Original_Rags_-_Scott_Joplin_-_Arranged_by_William_Arlington.mscz,part_1,[1],69.92381656804734,69.92381656804734
216,Original_Rags_-_Scott_Joplin_-_Arranged_by_William_Arlington.mscz,part_2,[2],70.61827956989248,70.61827956989248
217,Oscar_Peterson_Blues_Pattern__Reversed.mscz,part_1,"[1, 2]",22.364155251141554,22.364155251141554
218,O_Christmas_Tree__Misc_Traditional.mscz,part_1,"[1, 2]",11.271653543307087,10.271653543307087
219,O_grande_amor_by_Antnio_Carlos_Jobim.mscz,part_2,"[2, 3]",20.425233644859812,20.425233644859812
220,O_grande_amor_by_Antnio_Carlos_Jobim.mscz,part_4,"[1, 2]",20.343030303030304,20.343030303030304
221,Palm_Leaf_Rag (1).mscz,part_1,"[1, 2]",39.03223070398643,38.53095843935539
222,Palm_Leaf_Rag.mscz,part_1,"[1, 2]",38.614200171086395,38.614200171086395
223,Paradox.mscz,part_1,[1],16.01015228426396,15.01015228426396
224,Paragon_Rag.mscz,part_1,"[1, 2]",44.66794136392607,44.66794136392607
225,Paris_sera_toujours_Paris_-_solo.mscz,part_1,[1],9.137440758293838,9.137440758293838
226,Paswonky.mscz,part_1,"[1, 2]",34.52745762711864,34.52745762711864
227,Patterns-_John_Coltrane.mscz,part_1,[1],82.01518602885345,82.01518602885345
228,Patterns-_John_Coltrane.mscz,part_2,"[2, 3]",82.0,82.0
229,Peacherine_Rag-Scott_Joplin.mscz,part_1,"[1, 2]",45.400515132002575,45.400515132002575
230,Peacherine_Rag.mscz,part_1,"[1, 2]",45.54757281553398,45.54757281553398
231,Petite_Fleur.mscz,part_1,"[1, 2]",22.60205831903945,22.60205831903945
232,Piano_Improvisation.mscz,part_1,"[1, 2]",43.169690501600854,43.169690501600854
233,Pickaninny_Rag_by_Irene_M._Giblin_1908.mscz,part_1,"[1, 2]",36.276388041488715,36.276388041488715
