,filename,part,staves,max_n_notes
274,Scott_Joplin_-_The_Easy_Winners_my_arr.mscz,part_1,"[1, 2]",6
275,Scott_Joplin_-_The_Entertainer_1902.mscz,part_1,"[1, 2]",6
276,Scott_Joplin_-_The_Great_Crush_Collision.mscz,part_1,"[1, 2]",8
277,Scott_Joplin_-_The_Ragtime_Dance.mscz,part_1,"[1, 2]",6
278,Scott_Joplin_-_The_Ragtime_Dance_with_stamping.mscz,part_2,"[2, 3]",6
279,Scott_Joplin_-_Weeping_Willow_Rag.mscz,part_1,"[1, 2]",6
280,Scott_Joplin_Entertainer_theme.mscz,part_1,"[1, 2]",4
281,Scott_Joplin_Pineapple_Rag.mscz,part_1,"[1, 2]",6
282,SEARCH-LIGHT_RAG.mscz,part_1,"[1, 2]",7
283,Searchlight_Rag_-_Scott_Joplin.mscz,part_1,"[1, 2]",7
284,Sentimentale__Claude_Bolling.mscz,part_1,"[1, 2]",2
285,Shout_for_Joy__Albert_Ammons.mscz,part_1,"[1, 2]",8
286,Silence_and_Fun_by_Charles_E._Mullen_1904.mscz,part_1,[1],4
287,Silence_and_Fun_by_Charles_E._Mullen_1904.mscz,part_2,[2],4
288,Silent_Night.mscz,part_1,"[1, 2]",8
289,Silent_night__Misc_Christmas_Jazzified.mscz,part_1,"[1, 2]",5
290,Silver_Bells.mscz,part_1,[1],1
291,Silver_Fox.mscz,part_1,[1],4
292,Silver_Fox.mscz,part_2,[2],4
293,Silver_Leaf_Rag_by_Dan_Goldsmith_1911.mscz,part_1,"[1, 2]",8
294,Skidding.mscz,part_1,"[1, 2]",6
295,Smoky_Topaz.mscz,part_1,"[1, 2]",7
296,Soap_Suds_by_Irene_M._Giblin_1906.mscz,part_1,"[1, 2]",8
297,Solace_-_A_Mexican_Serenade_-_Scott_Joplin_-_1909.mscz,part_1,"[1, 2]",7
298,Solace_-_First_Part.mscz,part_1,"[1, 2]",4
299,Solace_-_Scott_Joplin (1).mscz,part_1,"[1, 2]",6
300,SOLACE_-_Scott_Joplin.mscz,part_1,"[1, 2]",7
301,Solace_-_Two_Pages.mscz,part_1,"[1, 2]",4
302,Solace_my_arr.mscz,part_1,"[1, 2]",7
303,Solace__F_part.mscz,part_1,"[1, 2]",5
304,Solace__Six_Pages_-_Scott_Joplin.mscz,part_1,"[1, 2]",5
305,Something_Doing.mscz,part_1,"[1, 2]",8
306,Somewhere_Over_the_Rainbow-Reharmonized.mscz,part_1,"[1, 2]",6
307,Somewhere_Over_The_Rainbow.mscz,part_1,"[1, 2]",1
308,Somewhere_Over_The_Rainbow__Judy_Garland.mscz,part_1,"[1, 2]",8
309,Some_Day_My_Prince_Will_Come.mscz,part_1,"[1, 2]",7
310,Some_Day_My_Prince_Will_Come__Frank_Churchill__Solo_Piano_.mscz,part_1,"[1, 2]",7
311,Spring_Time_Rag_by_Paul_Pratt_1916.mscz,part_1,[1],6
312,Spring_Time_Rag_by_Paul_Pratt_1916.mscz,part_2,[2],4
313,St._Louis_Blues_lead_sheet_and_lyrics.mscz,part_1,[1],1
314,Strange_Meadowlark__The_Dave_Brubeck_Quartet_solo_alto_saxophone.mscz,part_1,[1],4
315,Sunflower_Slow_Drag__Scott_Joplin.mscz,part_1,"[1, 2]",6
316,Super_Mario_World_Ending_Theme_as_played_by_Tom_Brier.mscz,part_1,"[1, 2]",9
317,SWANEE_RIVER_BOOGIE_WOOGIE_-_ALBERT_AMMONS.mscz,part_1,"[1, 2]",7
318,Sweet_Jazz_Music_-_Jelly_Roll_Morton___Library_of_Congress.mscz,part_1,"[1, 2]",8
319,Swipesy_Cake_Walk_-_Scott_Joplin.mscz,part_1,"[1, 2]",6
320,take_the_a_train.mscz,part_1,[1],1
321,Tea_for_Two.mscz,part_1,"[1, 2]",4
322,Temptation_Rag_by_Henry_Lodge_1909.mscz,part_1,[1],4
323,Temptation_Rag_by_Henry_Lodge_1909.mscz,part_2,[2],4
324,Temptation_Rag___Simplified (1).mscz,part_1,"[1, 2]",6
325,Temptation_Rag___Simplified.mscz,part_1,"[1, 2]",6
326,That_Enticing_Two_Step_by_Blanche_M._Tice_1914.mscz,part_1,"[1, 2]",6
327,That_Fascinating_Rag_by_Walter_Rolfe_1911.mscz,part_1,"[1, 2]",7
328,That_Poker_Rag.mscz,part_1,"[1, 2]",6
329,That_Potatoe_Bug_Rag_by_Axel_Christensen_1916.mscz,part_1,[1],3
330,That_Potatoe_Bug_Rag_by_Axel_Christensen_1916.mscz,part_2,[2],3
331,There_Is_No_Greater_Love.mscz,part_1,[1],1
332,The_Black_Diamond_by_Grace_M._Bolen_1899.mscz,part_1,"[1, 2]",6
333,The_Cake_Walk_at_Boomblesteins_Ball_as_performed_by_Tom_Brier.mscz,part_1,"[1, 2]",9
334,The_Cascades_-_A_Scott_Joplin_Rag.mscz,part_1,"[1, 2]",6
335,The_Cutter.mscz,part_1,"[1, 2]",8
336,The_Dixie_Rag.mscz,part_1,"[1, 2]",7
337,The_Easy_Winners (1).mscz,part_1,"[1, 2]",4
338,The_Easy_Winners (2).mscz,part_1,"[1, 2]",6
339,THE_EASY_WINNERS_piano.mscz,part_1,"[1, 2]",6
340,The_entertainer (1).mscz,part_1,[1],1
341,The_entertainer (14).mscz,part_1,"[1, 2]",3
342,The_Entertainer (22).mscz,part_1,"[1, 2]",8
343,The_Entertainer (24).mscz,part_1,"[1, 2]",2
344,The_Entertainer (25).mscz,part_1,"[1, 2]",6
345,The_Entertainer (26).mscz,part_1,"[1, 2]",4
346,The_Entertainer (27).mscz,part_1,"[1, 2]",6
347,The_Entertainer (4).mscz,part_1,"[1, 2]",1
348,THE_ENTERTAINER (6).mscz,part_1,"[1, 2]",6
349,The_Entertainer (7).mscz,part_1,"[1, 2]",6
350,The_Entertainer_-_Scott_Joplin (2).mscz,part_1,"[1, 2]",7
351,The_Entertainer_-_Scott_Joplin (3).mscz,part_1,"[1, 2]",6
352,The_Entertainer_-_Scott_Joplin (4).mscz,part_1,"[1, 2]",6
353,The_Entertainer_-_Scott_Joplin.mscz,part_1,"[1, 2]",4
354,The_Entertainer_-_Scott_Joplin_-_1902.mscz,part_1,"[1, 2]",6
355,The_Entertainer_-_Scott_Joplin__Westworld.mscz,part_1,"[1, 2]",4
356,The_Entertainer_2._Version.mscz,part_1,"[1, 2]",4
357,The_Entertainer_Alfreds_Version.mscz,part_1,"[1, 2]",4
358,The_Entertainer_By_Scott_Joplin.mscz,part_1,"[1, 2]",8
359,The_Entertainer_Demystified.mscz,part_1,"[1, 2]",6
360,The_Entertainer_Easy.mscz,part_1,"[1, 2]",4
361,The_Entertainer_Easy_PA.mscz,part_1,"[1, 2]",4
362,The_Entertainer_Jazz_Arrangement.mscz,part_1,"[1, 2]",7
363,The_Entertainer_Section_A_YWCM.mscz,part_1,"[1, 2]",5
364,The_Entertainer__1.mscz,part_1,"[1, 2]",4
365,The_entertainer__p1-8_fewer_octaves_Scott_Joplin.mscz,part_1,"[1, 2]",6
